Issue key,Priority
HIVE-4413,Major
HIVE-10233,Major
HIVE-11031,Critical
HIVE-11332,Major
HIVE-11035,Major
HIVE-13452,Major
HIVE-17126,Major
HIVE-12264,Major
HIVE-7428,Major
HIVE-11058,Major
HIVE-11023,Critical
HIVE-15247,Major
HIVE-22196,Major
HIVE-12767,Major
HIVE-13989,Major
HIVE-13456,Major
HIVE-11795,Major
HIVE-12451,Major
HIVE-11847,Major
HIVE-13813,Major
HIVE-11863,Major
HIVE-13335,Major
HIVE-11966,Major
HIVE-12472,Major
HIVE-12453,Major
HIVE-13023,Blocker
HIVE-11423,Blocker
HIVE-11038,Blocker
HIVE-15756,Critical
HIVE-12572,Critical
HIVE-11165,Major
HIVE-12393,Major
HIVE-13280,Major
HIVE-15766,Major
HIVE-15329,Major
HIVE-15096,Major
HIVE-15054,Major
HIVE-12603,Major
HIVE-15110,Major
HIVE-14742,Major
HIVE-14620,Major
HIVE-14133,Major
HIVE-13829,Major
HIVE-12639,Major
HIVE-13768,Major
HIVE-12896,Major
HIVE-13235,Major
HIVE-13408,Major
HIVE-12569,Major
HIVE-13071,Major
HIVE-13225,Major
HIVE-12405,Major
HIVE-12452,Major
HIVE-12394,Major
HIVE-12068,Major
HIVE-11446,Major
HIVE-11237,Major
HIVE-11021,Major
HIVE-21157,Minor
