Issue key,Priority,files changed
HIVE-25538,Critical,/Users/mac/hive/hive/itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosIncrementalLoadAcidTables.java;/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/parse/repl/CopyUtils.java;/Users/mac/hive/hive/itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/ReplicationTestUtils.java
HIVE-20016,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java
HIVE-26778,Major,/Users/mac/hive/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
HIVE-26017,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverMergeFiles.java
HIVE-25777,Major,/Users/mac/hive/hive/ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestCleaner.java;/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java
HIVE-25408,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/ddl/table/misc/owner/AlterTableSetOwnerAnalyzer.java;/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/hooks/WriteEntity.java
HIVE-25316,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/optimizer/topnkey/TopNKeyPushdownProcessor.java
HIVE-24514,Major,/Users/mac/hive/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-24198,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/parse/TezCompiler.java;/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/tez/SplitGrouper.java;/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java
HIVE-22290,Major,/Users/mac/hive/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-21437,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java;/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/ConstantVectorExpression.java
