Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"AlterDatabaseEvent.java",9,2,7,0,2,,,,,1,0,1,6,,6,6,1,6,,0,4,0,2,,107,25,61,36,29,21,,40,50,35,25,,4,,2,,,0.34,14,0,0,0.00,0.00
File,"BufferedRows.java",9,0,8,0,2,,,,,1,0,0,6,,6,6,3,6,,3,0,0,3,,97,12,60,23,26,25,,29,45,22,24,,5,,2,,,0.42,13,0,0,0.00,0.00
File,"Cleaner.java",41,1,32,8,7,,,,,2,0,2,6,,6,6,3,6,,0,4,0,2,,311,19,221,68,139,71,,110,164,78,110,,22,,7,,,0.32,42,0,0,0.00,0.00
File,"DecimalColumnInList.java",14,1,12,1,4,,,,,1,0,1,8,,8,8,4,8,,0,0,0,8,,165,23,109,38,59,33,,60,86,38,48,,23,,4,,,0.30,30,0,0,0.00,0.00
File,"DropPartitionEvent.java",9,2,7,0,2,,,,,1,0,1,5,,5,5,1,5,,0,3,0,2,,94,20,53,31,24,22,,36,45,31,21,,4,,2,,,0.42,8,0,0,0.00,0.00
File,"DummyHiveMetastoreAuthorizationProvider.java",7,0,7,0,1,,,,,3,0,2,19,,17,19,12,19,,3,2,0,14,,216,32,163,73,73,21,,62,84,45,43,,3,,2,,,0.13,20,0,0,0.00,0.00
Unknown Annotation,"Explain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
File,"FileSinkDesc.java",5,0,4,1,1,,,,,3,0,1,106,,104,106,48,106,,0,0,0,106,,755,127,507,212,204,124,,226,339,175,169,,2,,1,,,0.24,115,0,0,0.00,0.00
File,"FilterDoubleColumnInList.java",14,1,12,1,4,,,,,1,0,1,9,,9,9,3,9,,0,0,0,9,,186,25,127,42,66,34,,62,95,41,54,,24,,5,,,0.27,32,0,0,0.00,0.00
File,"FixedSizedObjectPool.java",7,0,7,1,2,,,,,3,1,11,30,,30,29,10,30,,1,11,0,18,,327,37,231,86,129,81,,119,182,77,129,,8,,3,,,0.35,63,0,0,0.00,0.00
File,"FuncLongToString.java",10,0,9,0,2,,,,,1,0,1,11,,12,12,3,12,,3,0,0,9,,158,20,110,34,60,29,,57,83,33,50,,15,,4,,,0.26,25,0,0,0.00,0.00
File,"GenericUDFAbs.java",31,1,30,0,8,,,,,1,0,0,3,,3,3,7,3,,0,0,0,3,,160,10,129,49,77,21,,69,80,38,48,,12,,2,,,0.16,24,0,0,0.00,0.00
File,"GenericUDFUnixTimeStamp.java",8,0,8,0,2,,,,,1,0,1,3,,3,3,1,3,,0,0,2,1,,70,7,46,28,14,18,,23,30,20,12,,4,,3,,,0.39,7,0,0,0.00,0.00
File,"HCatSemanticAnalyzerBase.java",11,1,9,1,2,,,,,1,0,0,9,,9,9,1,9,,0,0,7,2,,173,20,102,41,41,51,,43,65,33,33,,8,,4,,,0.50,22,0,0,0.00,0.00
